Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Owner occupied,percent_own
0500000US48293,48293,"Limestone County, Texas",8100,6109,0.754197531
0500000US48295,48295,"Lipscomb County, Texas",1276,935,0.732758621
0500000US48297,48297,"Live Oak County, Texas",3586,2959,0.825153374
0500000US48299,48299,"Llano County, Texas",8681,6647,0.765695196
0500000US48301,48301,"Loving County, Texas",31,16,0.516129032
0500000US48303,48303,"Lubbock County, Texas",110275,61694,0.559455906
0500000US48305,48305,"Lynn County, Texas",2147,1475,0.687005123
0500000US48307,48307,"McCulloch County, Texas",3143,2398,0.76296532
0500000US48309,48309,"McLennan County, Texas",88208,51140,0.579766008
0500000US48311,48311,"McMullen County, Texas",194,143,0.737113402
0500000US48313,48313,"Madison County, Texas",4174,3069,0.735265932
0500000US48315,48315,"Marion County, Texas",4457,3528,0.791563832
0500000US48317,48317,"Martin County, Texas",1635,1261,0.771253823
0500000US48319,48319,"Mason County, Texas",1622,1185,0.730579531
0500000US48321,48321,"Matagorda County, Texas",13811,9359,0.677648251
0500000US48323,48323,"Maverick County, Texas",16416,11170,0.680433723
0500000US48325,48325,"Medina County, Texas",15154,12448,0.821433285
0500000US48327,48327,"Menard County, Texas",964,643,0.667012448
0500000US48329,48329,"Midland County, Texas",55045,36750,0.667635571
0500000US48331,48331,"Milam County, Texas",9437,6444,0.682844124
0500000US48333,48333,"Mills County, Texas",1833,1553,0.847244954
0500000US48335,48335,"Mitchell County, Texas",2639,2005,0.759757484
0500000US48337,48337,"Montague County, Texas",8044,5784,0.719045251
0500000US48339,48339,"Montgomery County, Texas",186861,133082,0.712197837
0500000US48341,48341,"Moore County, Texas",6725,4294,0.638513011
0500000US48343,48343,"Morris County, Texas",5024,3732,0.742834395
0500000US48345,48345,"Motley County, Texas",469,336,0.71641791
0500000US48347,48347,"Nacogdoches County, Texas",23825,13308,0.558572928
0500000US48349,48349,"Navarro County, Texas",17326,11889,0.686194159
0500000US48351,48351,"Newton County, Texas",4781,3957,0.827651119
0500000US48353,48353,"Nolan County, Texas",5552,3845,0.692543228
0500000US48355,48355,"Nueces County, Texas",128857,74465,0.577888667
0500000US48357,48357,"Ochiltree County, Texas",3549,2562,0.721893491
0500000US48359,48359,"Oldham County, Texas",581,429,0.7383821
0500000US48361,48361,"Orange County, Texas",32272,24309,0.753253594
0500000US48363,48363,"Palo Pinto County, Texas",10441,7331,0.702135811
0500000US48365,48365,"Panola County, Texas",9032,6995,0.774468556
0500000US48367,48367,"Parker County, Texas",43942,34062,0.775158163
0500000US48369,48369,"Parmer County, Texas",3222,2221,0.689323402
0500000US48371,48371,"Pecos County, Texas",4420,3075,0.695701357
0500000US48373,48373,"Polk County, Texas",17632,13523,0.766957804
0500000US48375,48375,"Potter County, Texas",43453,24906,0.573171012
0500000US48377,48377,"Presidio County, Texas",2589,1543,0.595983005
0500000US48379,48379,"Rains County, Texas",4333,3346,0.772213247
0500000US48381,48381,"Randall County, Texas",49118,34303,0.698379413
0500000US48383,48383,"Reagan County, Texas",1171,823,0.702818104
0500000US48385,48385,"Real County, Texas",1123,862,0.767586821
0500000US48387,48387,"Red River County, Texas",5218,3956,0.758144883
0500000US48389,48389,"Reeves County, Texas",3731,2674,0.716697936
0500000US48391,48391,"Refugio County, Texas",2694,1947,0.722717149
0500000US48393,48393,"Roberts County, Texas",326,242,0.742331288
0500000US48395,48395,"Robertson County, Texas",6298,4691,0.744839632
0500000US48397,48397,"Rockwall County, Texas",30365,24414,0.804017784
0500000US48399,48399,"Runnels County, Texas",3781,2714,0.717799524
0500000US48401,48401,"Rusk County, Texas",17982,13677,0.760593927
0500000US48403,48403,"Sabine County, Texas",3811,3353,0.879821569
0500000US48405,48405,"San Augustine County, Texas",3202,2537,0.792317302
0500000US48407,48407,"San Jacinto County, Texas",9414,7812,0.829827916
0500000US48409,48409,"San Patricio County, Texas",23246,15546,0.668760217
0500000US48411,48411,"San Saba County, Texas",2135,1438,0.6735363
0500000US48413,48413,"Schleicher County, Texas",1102,847,0.768602541
0500000US48415,48415,"Scurry County, Texas",5838,4327,0.741178486
0500000US48417,48417,"Shackelford County, Texas",1257,992,0.789180589
0500000US48419,48419,"Shelby County, Texas",9218,6580,0.713820785
0500000US48421,48421,"Sherman County, Texas",1063,860,0.809031044
0500000US48423,48423,"Smith County, Texas",77801,51275,0.659053226
0500000US48425,48425,"Somervell County, Texas",3234,2391,0.739332096
0500000US48427,48427,"Starr County, Texas",16320,12136,0.743627451
0500000US48429,48429,"Stephens County, Texas",3361,2653,0.789348408
0500000US48431,48431,"Sterling County, Texas",462,393,0.850649351
0500000US48433,48433,"Stonewall County, Texas",458,348,0.759825328
0500000US48435,48435,"Sutton County, Texas",1573,1073,0.682136046
0500000US48437,48437,"Swisher County, Texas",2602,1814,0.697156034
0500000US48439,48439,"Tarrant County, Texas",689921,418852,0.607101393
0500000US48441,48441,"Taylor County, Texas",49443,29152,0.589608236
0500000US48443,48443,"Terrell County, Texas",343,263,0.766763848
0500000US48445,48445,"Terry County, Texas",4142,2894,0.698696282
0500000US48447,48447,"Throckmorton County, Texas",712,520,0.730337079
0500000US48449,48449,"Titus County, Texas",10675,7163,0.671007026
0500000US48451,48451,"Tom Green County, Texas",43081,27169,0.630649242
0500000US48453,48453,"Travis County, Texas",447561,234225,0.523336484
0500000US48455,48455,"Trinity County, Texas",5934,4616,0.777890125
0500000US48457,48457,"Tyler County, Texas",7312,6163,0.84286105
0500000US48459,48459,"Upshur County, Texas",14061,10823,0.769717659
0500000US48461,48461,"Upton County, Texas",1308,954,0.729357798
0500000US48463,48463,"Uvalde County, Texas",8624,6284,0.728664193
0500000US48465,48465,"Val Verde County, Texas",15189,9592,0.631509645
0500000US48467,48467,"Van Zandt County, Texas",19354,14926,0.771210086
0500000US48469,48469,"Victoria County, Texas",32734,21458,0.655526364
0500000US48471,48471,"Walker County, Texas",21294,11241,0.527895182
0500000US48473,48473,"Waller County, Texas",14698,10084,0.686079739
0500000US48475,48475,"Ward County, Texas",3954,2767,0.699797673
0500000US48477,48477,"Washington County, Texas",12205,9398,0.77001229
0500000US48479,48479,"Webb County, Texas",72379,45601,0.63003081
0500000US48481,48481,"Wharton County, Texas",15224,10269,0.674527063
0500000US48483,48483,"Wheeler County, Texas",2287,1461,0.638828159
0500000US48485,48485,"Wichita County, Texas",48528,29759,0.613233597
0500000US48487,48487,"Wilbarger County, Texas",5155,3343,0.648496605
0500000US48489,48489,"Willacy County, Texas",5737,4465,0.778281332
0500000US48491,48491,"Williamson County, Texas",170051,117210,0.689263809
0500000US48493,48493,"Wilson County, Texas",15755,13157,0.835099968
0500000US48495,48495,"Winkler County, Texas",2524,1974,0.782091918
0500000US48497,48497,"Wise County, Texas",21691,16642,0.767230649
0500000US48499,48499,"Wood County, Texas",16122,12965,0.804180623
0500000US48501,48501,"Yoakum County, Texas",2652,2054,0.774509804
0500000US48503,48503,"Young County, Texas",7066,5530,0.782621002
0500000US48505,48505,"Zapata County, Texas",4457,3222,0.722907786
0500000US48507,48507,"Zavala County, Texas",3536,2452,0.693438914
